station,number
가능,01호선
가락시장,03호선
가산디지털단지,01호선
가양,09호선
가천대,분당선
간석,01호선
강남,02호선
강남구청,분당선
강동,05호선
강동구청,08호선
강변,02호선
개롱,05호선
개봉,01호선
개포동,분당선
개화,09호선
개화산,05호선
거여,05호선
건대입구,07호선
경마공원,04호선
경복궁,03호선
경찰병원,03호선
고덕,05호선
고려대,06호선
고속터미널,03호선
고잔,04호선
공릉,07호선
공항시장,09호선
공항화물청사,공항철도
과천,04호선
관악,01호선
광교,신분당선
광교중앙,신분당선
광나루,05호선
광명,01호선
광명사거리,07호선
광운대,01호선
광화문,05호선
광흥창,06호선
교대,03호선
구로,01호선
구로디지털단지,02호선
구룡,분당선
구반포,09호선
구산,06호선
구성,분당선
구의,02호선
구일,01호선
구파발,03호선
국회의사당,09호선
군자,05호선
군포,01호선
굴포천,07호선
굽은다리,05호선
금정,01호선
금천구청,01호선
금호,03호선
기흥,분당선
길동,05호선
길음,04호선
김포공항,05호선
까치산,05호선
까치울,07호선
낙성대,02호선
남구로,07호선
남부터미널,03호선
남성,07호선
남영,01호선
남태령,04호선
남한산성입구,08호선
내방,07호선
노들,09호선
노량진,01호선
노원,04호선
녹번,03호선
녹사평,06호선
녹양,01호선
녹천,01호선
논현,07호선
단대오거리,08호선
답십리,05호선
당고개,04호선
당산,09호선
당정,01호선
대곡,03호선
대공원,04호선
대림,02호선
대모산입구,분당선
대방,01호선
대야미,04호선
대청,03호선
대치,03호선
대화,03호선
대흥,06호선
덕계,01호선
덕정,01호선
도곡,03호선
도림천,02호선
도봉,01호선
도봉산,01호선
도원,01호선
도화,01호선
독립문,03호선
독바위,06호선
독산,01호선
돌곶이,06호선
동대문,04호선
동대문역사문화공원,04호선
동대입구,03호선
동두천,01호선
동두천중앙,01호선
동묘앞,06호선
동암,01호선
동인천,01호선
동작,04호선
동천,신분당선
두정,01호선
둔촌동,05호선
둔촌오륜,09호선
등촌,09호선
뚝섬,02호선
뚝섬유원지,07호선
마곡,05호선
마곡나루,09호선
마두,03호선
마들,07호선
마장,05호선
마천,05호선
마포,05호선
마포구청,06호선
망원,06호선
망월사,01호선
망포,분당선
매교,분당선
매봉,03호선
매탄권선,분당선
먹골,07호선
면목,07호선
명동,04호선
명일,05호선
명학,01호선
